Word Length,Vowel Count,Count,Total Words,Percentage
3,0,368,2126,17.31%
3,1,1340,2126,63.03%
3,2,412,2126,19.38%
3,3,6,2126,0.28%
4,0,138,7183,1.92%
4,1,3438,7183,47.86%
4,2,3423,7183,47.65%
4,3,183,7183,2.55%
4,4,1,7183,0.01%
5,0,54,15918,0.34%
5,1,4071,15918,25.57%
5,2,9665,15918,60.72%
5,3,2074,15918,13.03%
5,4,54,15918,0.34%
6,0,55,39610,0.14%
6,1,2773,39610,7.00%
6,2,21567,39610,54.45%
6,3,13938,39610,35.19%
6,4,1268,39610,3.20%
6,5,8,39610,0.02%
6,6,1,39610,0.00%
7,0,13,51960,0.03%
7,1,955,51960,1.84%
7,2,19590,51960,37.70%
7,3,25350,51960,48.79%
7,4,5848,51960,11.25%
7,5,203,51960,0.39%
7,6,1,51960,0.00%
8,0,1,59720,0.00%
8,1,287,59720,0.48%
8,2,12036,59720,20.15%
8,3,30352,59720,50.82%
8,4,15717,59720,26.32%
8,5,1292,59720,2.16%
8,6,35,59720,0.06%
9,1,82,58796,0.14%
9,2,4967,58796,8.45%
9,3,24541,58796,41.74%
9,4,24275,58796,41.29%
9,5,4692,58796,7.98%
9,6,238,58796,0.40%
9,7,1,58796,0.00%
10,1,23,49766,0.05%
10,2,1618,49766,3.25%
10,3,12990,49766,26.10%
10,4,23798,49766,47.82%
10,5,10357,49766,20.81%
10,6,943,49766,1.89%
10,7,37,49766,0.07%
11,1,3,40242,0.01%
11,2,418,40242,1.04%
11,3,5735,40242,14.25%
11,4,17090,40242,42.47%
11,5,14270,40242,35.46%
11,6,2560,40242,6.36%
11,7,162,40242,0.40%
11,8,4,40242,0.01%
12,1,3,30802,0.01%
12,2,89,30802,0.29%
12,3,2112,30802,6.86%
12,4,9528,30802,30.93%
12,5,13349,30802,43.34%
12,6,5201,30802,16.89%
12,7,489,30802,1.59%
12,8,30,30802,0.10%
12,9,1,30802,0.00%
13,2,13,21964,0.06%
13,3,577,21964,2.63%
13,4,4141,21964,18.85%
13,5,9388,21964,42.74%
13,6,6638,21964,30.22%
13,7,1134,21964,5.16%
13,8,67,21964,0.31%
13,9,6,21964,0.03%
14,2,5,14793,0.03%
14,3,138,14793,0.93%
14,4,1496,14793,10.11%
14,5,5269,14793,35.62%
14,6,5743,14793,38.82%
14,7,1945,14793,13.15%
14,8,186,14793,1.26%
14,9,10,14793,0.07%
14,10,1,14793,0.01%
15,3,36,9176,0.39%
15,4,470,9176,5.12%
15,5,2229,9176,24.29%
15,6,3946,9176,43.00%
15,7,2112,9176,23.02%
15,8,358,9176,3.90%
15,9,22,9176,0.24%
15,10,3,9176,0.03%
